# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494301173857e-10       7.288814643016e-15       4.813069259988e-13       0.000000000000e+00       8.899647635292e-09       4.878508123482e-10      -2.508514234307e-12 
    3       1.408197314542e-10       1.233740808798e-14       6.052795339811e-13       0.000000000000e+00       5.431369484076e-09       3.466553393933e-10      -2.206662287089e-12 
    4       1.323521451974e-10       1.440321232404e-14       6.260870074016e-13       0.000000000000e+00       3.759164397108e-09       2.634180737236e-10      -1.760161519512e-12 
    5       1.256467660345e-10       1.331969114093e-14       5.863165063500e-13       0.000000000000e+00       2.796927155610e-09       2.087948230936e-10      -1.306443682263e-12 
    6       1.207071463829e-10       1.027758597815e-14       5.159484120403e-13       0.000000000000e+00       2.178995133274e-09       1.703543124557e-10      -8.927258422934e-13 
    7       1.172357279991e-10       6.811823104945e-15       4.353425070463e-13       0.000000000000e+00       1.753853821568e-09       1.419997537091e-10      -5.430635296396e-13 
    8       1.149130707644e-10       4.025399059172e-15       3.567474176458e-13       0.000000000000e+00       1.446413468953e-09       1.203413470674e-10      -2.681959571871e-13 
    9       1.134949434938e-10       2.327261339393e-15       2.874046378459e-13       0.000000000000e+00       1.215574980345e-09       1.033476116749e-10      -6.976870857451e-14 
   10       1.127664785144e-10       1.566231425144e-15       2.313532746982e-13       0.000000000000e+00       1.037233841552e-09       8.975890774295e-11       5.751596677716e-14 
   11       1.125882518268e-10       1.341735995184e-15       1.902879664677e-13       0.000000000000e+00       8.886884492946e-10       7.949711432129e-11       1.232397437339e-13 
   12       1.128510461640e-10       1.284549136462e-15       1.638990333863e-13       0.000000000000e+00       7.765263703855e-10       7.027369742139e-11       1.420006070309e-13 
   13       1.134359672712e-10       1.197288030596e-15       1.504424293473e-13       0.000000000000e+00       6.844546814879e-10       6.273597393534e-11       1.275709574160e-13 
   14       1.142443949345e-10       1.051918466190e-15       1.473555357689e-13       0.000000000000e+00       6.078489171711e-10       5.620003693844e-11       9.267971575291e-14 
   15       1.152824800466e-10       9.081875644766e-16       1.516214453323e-13       0.000000000000e+00       5.433675807509e-10       5.073906106720e-11       4.955478098872e-14 
   16       1.165102999735e-10       8.273781513756e-16       1.602387626276e-13       0.000000000000e+00       4.885436064624e-10       4.610991847965e-11       7.280122229575e-15 
   17       1.178467814086e-10       8.268402124129e-16       1.707225806690e-13       0.000000000000e+00       4.415135830252e-10       4.211371202871e-11      -2.781579071809e-14 
   18       1.192856073601e-10       8.815718118953e-16       1.812700961409e-13       0.000000000000e+00       4.008483463135e-10       3.858622165537e-11      -5.223523096620e-14 
   19       1.208618616345e-10       9.521362986871e-16       1.906996066469e-13       0.000000000000e+00       3.654356107842e-10       3.543690905288e-11      -6.497781166428e-14 
   20       1.225072096562e-10       1.012519481253e-15       1.984801630124e-13       0.000000000000e+00       3.344002415287e-10       3.267179902184e-11      -6.688783047664e-14 
   21       1.242002188924e-10       1.061812809841e-15       2.046922123514e-13       0.000000000000e+00       3.070439507879e-10       3.022529200317e-11      -6.029328056746e-14 
   22       1.260071599558e-10       1.118328306913e-15       2.096525823392e-13       0.000000000000e+00       2.828042586894e-10       2.802453233206e-11      -4.824190337563e-14 
   23       1.278301862676e-10       1.204789817493e-15       2.138768644093e-13       0.000000000000e+00       2.612230434955e-10       2.601311904102e-11      -3.395373844552e-14 
   24       1.297272132646e-10       1.335627961040e-15       2.179196936187e-13       0.000000000000e+00       2.419247325700e-10       2.417105824995e-11      -2.032892304735e-14 
   25       1.316391236901e-10       1.512768088221e-15       2.222930098896e-13       0.000000000000e+00       2.245983576729e-10       2.253791089577e-11      -9.364060200242e-15 
   26       1.336099912072e-10       1.729562450190e-15       2.273434520322e-13       0.000000000000e+00       2.089844925337e-10       2.108816575861e-11      -2.266454347960e-15 
   27       1.356649612992e-10       1.977971754930e-15       2.330070966115e-13       0.000000000000e+00       1.948652172809e-10       1.977064342623e-11       6.406356208035e-16 
   28       1.376582006379e-10       2.253298948360e-15       2.393015615591e-13       0.000000000000e+00       1.820562423801e-10       1.855456146677e-11      -2.097863458247e-16 
   29       1.397639771774e-10       2.554935999685e-15       2.458887821884e-13       0.000000000000e+00       1.704009618364e-10       1.745115886996e-11      -3.838882348428e-15 
   30       1.418545006074e-10       2.884102743437e-15       2.522430787096e-13       0.000000000000e+00       1.597655581715e-10       1.644692399242e-11      -9.194602129334e-15 
   31       1.439676650381e-10       3.240935839652e-15       2.580522462954e-13       0.000000000000e+00       1.500367159592e-10       1.551891909559e-11      -1.513642906308e-14 
   32       1.461994239556e-10       3.623304993281e-15       2.626468844178e-13       0.000000000000e+00       1.411151647741e-10       1.468520409620e-11      -2.020724887060e-14 
   33       1.483366154691e-10       4.027620921933e-15       2.657629276800e-13       0.000000000000e+00       1.329146701633e-10       1.391676307130e-11      -2.354878828284e-14 
   34       1.505761115814e-10       4.451588579292e-15       2.671671077653e-13       0.000000000000e+00       1.253599018215e-10       1.319973045307e-11      -2.478937643068e-14 
   35       1.528470932832e-10       4.896495350903e-15       2.664546070412e-13       0.000000000000e+00       1.183868462279e-10       1.248361349013e-11      -2.448020473657e-14 
   36       1.550590157667e-10       5.366891037770e-15       2.639532373539e-13       0.000000000000e+00       1.119383936874e-10       1.185233771195e-11      -2.231624365613e-14 
   37       1.574108371416e-10       5.868274426962e-15       2.597594967924e-13       0.000000000000e+00       1.059635251024e-10       1.129416318009e-11      -1.877602166407e-14 
   38       1.597228792600e-10       6.404845289213e-15       2.539136458449e-13       0.000000000000e+00       1.004175034154e-10       1.074598063121e-11      -1.494509689345e-14 
   39       1.620473798411e-10       6.979228062920e-15       2.467591321275e-13       0.000000000000e+00       9.526226543542e-11       1.021574297997e-11      -1.143476552451e-14 
   40       1.644692193773e-10       7.592399678085e-15       2.382104101782e-13       0.000000000000e+00       9.046213558452e-11       9.747945236697e-12      -8.336649732369e-15 
   41       1.668146576786e-10       8.243781595325e-15       2.285046999177e-13       0.000000000000e+00       8.598543005794e-11       9.315416371553e-12      -6.257764748472e-15 
   42       1.692406812128e-10       8.932392737655e-15       2.179134927992e-13       0.000000000000e+00       8.180541741797e-11       8.886443523876e-12      -5.695189640477e-15 
   43       1.717387898632e-10       9.657309623265e-15       2.061038118567e-13       0.000000000000e+00       7.789683232694e-11       8.504551806612e-12      -5.880036996265e-15 
   44       1.741443098608e-10       1.041865576272e-14       1.930531015042e-13       0.000000000000e+00       7.423665541924e-11       8.141339925730e-12      -6.858791882174e-15 
   45       1.766283549426e-10       1.121774082955e-14       1.787104186287e-13       0.000000000000e+00       7.080583155035e-11       7.783715342071e-12      -8.632222024528e-15 
   46       1.791385162101e-10       1.205466265396e-14       1.627168698538e-13       0.000000000000e+00       6.758483108808e-11       7.467620187482e-12      -1.026989852480e-14 
   47       1.816709542061e-10       1.292894395367e-14       1.449627243721e-13       0.000000000000e+00       6.455954944453e-11       7.183882252615e-12      -1.146169156173e-14 
   48       1.842498234825e-10       1.384005453180e-14       1.254100515518e-13       0.000000000000e+00       6.171290761133e-11       6.908942551056e-12      -1.214227466637e-14 
   49       1.868425976714e-10       1.478794471498e-14       1.039258917334e-13       0.000000000000e+00       5.903305142992e-11       6.637576389752e-12      -1.228166594570e-14 
   50       1.894147676254e-10       1.577291295098e-14       8.037711798369e-14       0.000000000000e+00       5.650632325869e-11       6.371177249888e-12      -1.187063959340e-14 
   51       1.920124237998e-10       1.679634486826e-14       5.477922547656e-14       0.000000000000e+00       5.412287928727e-11       6.119139048362e-12      -1.093667071291e-14 
   52       1.946853412089e-10       1.785960790834e-14       2.722165416610e-14       0.000000000000e+00       5.187138197328e-11       5.890172116934e-12      -9.562939329499e-15 
   53       1.973849756566e-10       1.896231358206e-14      -2.101946658160e-15       0.000000000000e+00       4.974361630114e-11       5.677726993196e-12      -8.001483330617e-15 
   54       2.000548195154e-10       2.010365071615e-14      -3.300639730127e-14       0.000000000000e+00       4.773019349440e-11       5.472326259901e-12      -6.549045536753e-15 
   55       2.027478096624e-10       2.128350556018e-14      -6.554768108799e-14       0.000000000000e+00       4.582417618136e-11       5.274321874517e-12      -5.394051156532e-15 
   56       2.055251167721e-10       2.250174510056e-14      -9.979946539991e-14       0.000000000000e+00       4.401767451969e-11       5.086746204289e-12      -4.677849481442e-15 
   57       2.083327234543e-10       2.375743606621e-14      -1.355956483868e-13       0.000000000000e+00       4.230480747920e-11       4.912380076603e-12      -4.423836943201e-15 
   58       2.111059368336e-10       2.504962776033e-14      -1.727567002600e-13       0.000000000000e+00       4.067892733046e-11       4.752168074010e-12      -4.616808038108e-15 
   59       2.138965599095e-10       2.637863945922e-14      -2.113939179091e-13       0.000000000000e+00       3.913500130059e-11       4.599320811217e-12      -5.227292981592e-15 
