# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 0.630176 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045004333795e-05       5.246582394096e+01 
       2.333095805641e-05       1.136047340449e+02 
       3.625717113354e-05       1.736019998227e+02 
       4.926346145416e-05       2.331317222418e+02 
       6.238518314747e-05       2.925732526454e+02 
       7.565858082820e-05       3.522083330141e+02 
       8.912111491755e-05       4.122762341092e+02 
       1.028118013711e-04       4.729962685643e+02 
       1.167715701734e-04       5.345792781884e+02 
       1.310436469927e-04       5.972345446147e+02 
       1.456739623954e-04       6.611745410982e+02 
       1.607115929610e-04       7.266186062886e+02 
       1.762092384570e-04       7.937960554838e+02 
       1.922237388671e-04       8.629489923437e+02 
       2.088166344034e-04       9.343349995949e+02 
       2.260547705566e-04       1.008229777869e+03 
       2.440109485712e-04       1.084929786348e+03 
       2.627646192567e-04       1.164754904875e+03 
       2.824026144891e-04       1.248051071268e+03 
       3.030199057923e-04       1.335192912267e+03 
       3.247203726287e-04       1.426586193737e+03 
       3.476175540833e-04       1.522670074216e+03 
       3.718353460970e-04       1.623918894855e+03 
       3.975085920654e-04       1.730843342997e+03 
       4.247834974604e-04       1.843990649699e+03 
       4.538177797217e-04       1.963943474953e+03 
       4.847804443246e-04       2.091317027117e+03 
       5.178510592485e-04       2.226753911481e+03 
       5.532183871386e-04       2.370916206858e+03 
       5.910782331532e-04       2.524474283720e+03 
       6.316303842205e-04       2.688091959740e+03 
       6.750745601225e-04       2.862407881558e+03 
       7.216053749246e-04       3.048013325997e+03 
       7.714064205261e-04       3.245427204585e+03 
       8.246437258060e-04       3.455069404943e+03 
       8.814589967750e-04       3.677234467740e+03 
       9.419631754247e-04       3.912067917862e+03 
       1.006230930745e-03       4.159547669375e+03 
       1.074296681075e-03       4.419473058413e+03 
       1.146152625442e-03       4.691462972229e+03 
       1.221749042864e-03       4.974963941482e+03 
       1.300996842025e-03       5.269267993563e+03 
       1.383772067800e-03       5.573537676988e+03 
       1.469921855004e-03       5.886836480863e+03 
       1.559271204023e-03       6.208161627527e+03 
       1.651629948312e-03       6.536475312954e+03 
       1.746799372057e-03       6.870733720681e+03 
       1.844578081754e-03       7.209911306243e+03 
       1.944766898304e-03       7.553020541474e+03 
       2.047172684863e-03       7.899125286459e+03 
       2.151611141021e-03       8.247353055011e+03 
       2.257908670024e-03       8.596897969104e+03 
       2.365903465723e-03       8.947025310329e+03 
       2.475445977673e-03       9.297069953153e+03 
       2.586398905573e-03       9.646434203198e+03 
       2.698636856110e-03       9.994585118261e+03 
       2.812045772658e-03       1.034105114267e+04 
       2.926522225142e-03       1.068541326591e+04 
       3.041972626323e-03       1.102730685259e+04 
       3.158312422777e-03       1.136641068325e+04 
       3.275465294285e-03       1.170244658356e+04 
       3.393362384006e-03       1.203517251702e+04 
       3.511941573302e-03       1.236437987013e+04 
       3.631146808815e-03       1.268988856922e+04 
       3.750927485056e-03       1.301154578069e+04 
       3.871237882690e-03       1.332922032613e+04 
       3.992036660788e-03       1.364280148659e+04 
       4.113286400085e-03       1.395219729799e+04 
       4.234953193603e-03       1.425733051373e+04 
       4.357006280707e-03       1.455813909313e+04 
       4.479417720608e-03       1.485457231145e+04 
       4.602162101426e-03       1.514659158359e+04 
       4.725216281153e-03       1.543416455256e+04 
       4.848559157090e-03       1.571723921940e+04 
       4.972171460656e-03       1.599587858833e+04 
       5.096035574718e-03       1.627001705082e+04 
       5.220135370916e-03       1.653966669845e+04 
       5.344456064688e-03       1.680491478348e+04 
       5.468984085990e-03       1.706568420940e+04 
       5.593706963892e-03       1.732201480430e+04 
       5.718613223473e-03       1.757391465711e+04 
       5.843692293605e-03       1.782089476008e+04 
       5.968934424386e-03       1.806397347612e+04 
       6.094330613118e-03       1.830268125725e+04 
       6.219872537888e-03       1.853705381869e+04 
       6.345552497875e-03       1.876711838913e+04 
       6.471363359654e-03       1.899287397388e+04 
       6.597298508830e-03       1.921438417588e+04 
       6.723351806413e-03       1.943175291254e+04 
       6.849517549429e-03       1.964488854567e+04 
       6.975790435312e-03       1.985404134918e+04 
       7.102165529665e-03       2.005908528318e+04 
       7.228638237047e-03       2.026006517611e+04 
       7.355204274468e-03       2.045692004239e+04 
       7.481859647301e-03       2.065032805350e+04 
       7.608600627389e-03       2.083932707712e+04 
       7.735423733096e-03       2.102490113674e+04 
       7.862325711133e-03       2.120614644608e+04 
       7.989303519968e-03       2.138365477119e+04 
       8.116354314671e-03       2.155749378598e+04 
       8.243475433056e-03       2.172728157259e+04 
       8.370664382991e-03       2.189386349110e+04 
       8.497918830777e-03       2.205735822765e+04 
       8.625236590478e-03       2.221644217896e+04 
       8.752615614134e-03       2.237198076293e+04 
       8.880053982758e-03       2.252397360344e+04 
       9.007549898064e-03       2.267248554409e+04 
       9.135101674842e-03       2.281664781984e+04 
       9.262707733939e-03       2.295833104725e+04 
       9.390366595784e-03       2.309739179137e+04 
       9.518076874411e-03       2.323164738227e+04 
       9.645837271942e-03       2.336385835169e+04 
       9.773646573481e-03       2.349100845225e+04 
       9.901503642401e-03       2.361727457017e+04 
       1.002940741597e-02       2.373828609836e+04 
       1.015735690133e-02       2.385699652207e+04 
       1.028535117169e-02       2.397347807660e+04 
       1.041338936293e-02       2.408508738657e+04 
       1.054147067033e-02       2.419543022456e+04 
       1.066959434557e-02       2.430202030285e+04 
       1.079775969399e-02       2.440536537347e+04 
       1.092596607196e-02       2.450583450448e+04 
       1.105421288453e-02       2.460283831183e+04 
       1.118249958317e-02       2.469754970232e+04 
       1.131082566373e-02       2.478884228578e+04 
       1.143919066444e-02       2.487845657393e+04 
       1.156759416422e-02       2.496540423974e+04 
       1.169603578093e-02       2.504828618124e+04 
       1.182451516985e-02       2.512987472189e+04 
       1.195303202223e-02       2.520794198186e+04 
       1.208158606397e-02       2.528344844961e+04 
       1.221017705434e-02       2.535618833527e+04 
       1.233880478484e-02       2.542659478922e+04 
       1.246746907811e-02       2.549443716340e+04 
       1.259616978695e-02       2.555955681067e+04 
       1.272490679336e-02       2.562088655802e+04 
       1.285368000771e-02       2.568240823491e+04 
       1.298248936791e-02       2.574019711748e+04 
       1.311133483870e-02       2.579551155165e+04 
