# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 0.630176 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045004333795e-05       3.576008673712e+01 
       2.333095805641e-05       7.746358548139e+01 
       3.625717113354e-05       1.184602791494e+02 
       4.926346145416e-05       1.592483925548e+02 
       6.238518314747e-05       2.001270363012e+02 
       7.565858082820e-05       2.413314388994e+02 
       8.912111491755e-05       2.830712889920e+02 
       1.028118013711e-04       3.255471114885e+02 
       1.167715701734e-04       3.689603015815e+02 
       1.310436469927e-04       4.135177714342e+02 
       1.456739623954e-04       4.594362759062e+02 
       1.607115929610e-04       5.069516288675e+02 
       1.762092384570e-04       5.563102377894e+02 
       1.922237388671e-04       6.077910557390e+02 
       2.088166344034e-04       6.616930812555e+02 
       2.260547705566e-04       7.183498251947e+02 
       2.440109485712e-04       7.781297182358e+02 
       2.627646192567e-04       8.414436629503e+02 
       2.824026144891e-04       9.087459199158e+02 
       3.030199057923e-04       9.805426650114e+02 
       3.247203726287e-04       1.057398913307e+03 
       3.476175540833e-04       1.139932185684e+03 
       3.718353460970e-04       1.228826149190e+03 
       3.975085920654e-04       1.324825878990e+03 
       4.247834974604e-04       1.428736923530e+03 
       4.538177797217e-04       1.541416995414e+03 
       4.847804443246e-04       1.663766596709e+03 
       5.178510592485e-04       1.796708449428e+03 
       5.532183871386e-04       1.941167076369e+03 
       5.910782331532e-04       2.098035408059e+03 
       6.316303842205e-04       2.268144251578e+03 
       6.750745601225e-04       2.452223291475e+03 
       7.216053749246e-04       2.650871841346e+03 
       7.714064205261e-04       2.864526874630e+03 
       8.246437258060e-04       3.093458556700e+03 
       8.814589967750e-04       3.337745312758e+03 
       9.419631754247e-04       3.597284520756e+03 
       1.006230930745e-03       3.871785744649e+03 
       1.074296681075e-03       4.160768426560e+03 
       1.146152625442e-03       4.463564942496e+03 
       1.221749042864e-03       4.779330739758e+03 
       1.300996842025e-03       5.107067820910e+03 
       1.383772067800e-03       5.445661983322e+03 
       1.469921855004e-03       5.793922233429e+03 
       1.559271204023e-03       6.150617075796e+03 
       1.651629948312e-03       6.514508057565e+03 
       1.746799372057e-03       6.884375470087e+03 
       1.844578081754e-03       7.259044539478e+03 
       1.944766898304e-03       7.637402865794e+03 
       2.047172684863e-03       8.018413162942e+03 
       2.151611141021e-03       8.401119769893e+03 
       2.257908670024e-03       8.784651354597e+03 
       2.365903465723e-03       9.168224874099e+03 
       2.475445977673e-03       9.551137975353e+03 
       2.586398905573e-03       9.932767779534e+03 
       2.698636856110e-03       1.031256388906e+04 
       2.812045772658e-03       1.069004406975e+04 
       2.926522225142e-03       1.106478509517e+04 
       3.041972626323e-03       1.143642252963e+04 
       3.158312422777e-03       1.180463809308e+04 
       3.275465294285e-03       1.216916044582e+04 
       3.393362384006e-03       1.252975595700e+04 
       3.511941573302e-03       1.288622418985e+04 
       3.631146808815e-03       1.323839859856e+04 
       3.750927485056e-03       1.358613715222e+04 
       3.871237882690e-03       1.392931777617e+04 
       3.992036660788e-03       1.426784995676e+04 
       4.113286400085e-03       1.460164638219e+04 
       4.234953193603e-03       1.493064561970e+04 
       4.357006280707e-03       1.525479564569e+04 
       4.479417720608e-03       1.557406410656e+04 
       4.602162101426e-03       1.588841915779e+04 
       4.725216281153e-03       1.619784784812e+04 
       4.848559157090e-03       1.650235166328e+04 
       4.972171460656e-03       1.680191508624e+04 
       5.096035574718e-03       1.709654735674e+04 
       5.220135370916e-03       1.738626653349e+04 
       5.344456064688e-03       1.767138708502e+04 
       5.468984085990e-03       1.795140231838e+04 
       5.593706963892e-03       1.822661619547e+04 
       5.718613223473e-03       1.849663696137e+04 
       5.843692293605e-03       1.876250901442e+04 
       5.968934424386e-03       1.902334362504e+04 
       6.094330613118e-03       1.927838580094e+04 
       6.219872537888e-03       1.952991620249e+04 
       6.345552497875e-03       1.977611128461e+04 
       6.471363359654e-03       2.001871927094e+04 
       6.597298508830e-03       2.025580772849e+04 
       6.723351806413e-03       2.048881289464e+04 
       6.849517549429e-03       2.071705772390e+04 
       6.975790435312e-03       2.094119712318e+04 
       7.102165529665e-03       2.116048383124e+04 
       7.228638237047e-03       2.137537397878e+04 
       7.355204274468e-03       2.158636966172e+04 
       7.481859647301e-03       2.179261420359e+04 
       7.608600627389e-03       2.199497416887e+04 
       7.735423733096e-03       2.219295204840e+04 
       7.862325711133e-03       2.238738343098e+04 
       7.989303519968e-03       2.257671759844e+04 
       8.116354314671e-03       2.276246254973e+04 
       8.243475433056e-03       2.294426392302e+04 
       8.370664382991e-03       2.312220122324e+04 
       8.497918830777e-03       2.329639795032e+04 
       8.625236590478e-03       2.346599955987e+04 
       8.752615614134e-03       2.363207377672e+04 
       8.880053982758e-03       2.379473185912e+04 
       9.007549898064e-03       2.395337541426e+04 
       9.135101674842e-03       2.410844342762e+04 
       9.262707733939e-03       2.425979517785e+04 
       9.390366595784e-03       2.440716654208e+04 
       9.518076874411e-03       2.455172709226e+04 
       9.645837271942e-03       2.469230203518e+04 
       9.773646573481e-03       2.482931043647e+04 
       9.901503642401e-03       2.496266032612e+04 
       1.002940741597e-02       2.509287077847e+04 
       1.015735690133e-02       2.522165169028e+04 
       1.028535117169e-02       2.534356943316e+04 
       1.041338936293e-02       2.546352735145e+04 
       1.054147067033e-02       2.558053605573e+04 
       1.066959434557e-02       2.569502399752e+04 
       1.079775969399e-02       2.580647547568e+04 
       1.092596607196e-02       2.591232797245e+04 
       1.105421288453e-02       2.601633356402e+04 
       1.118249958317e-02       2.611763761093e+04 
       1.131082566373e-02       2.621583461607e+04 
       1.143919066444e-02       2.631096353323e+04 
       1.156759416422e-02       2.640322465289e+04 
       1.169603578093e-02       2.649290335755e+04 
       1.182451516985e-02       2.657867227274e+04 
       1.195303202223e-02       2.666232196720e+04 
       1.208158606397e-02       2.674293198662e+04 
       1.221017705434e-02       2.682078275623e+04 
       1.233880478484e-02       2.689606017104e+04 
       1.246746907811e-02       2.696838312085e+04 
       1.259616978695e-02       2.703803558134e+04 
       1.272490679336e-02       2.710532066816e+04 
       1.285368000771e-02       2.717443321645e+04 
       1.298248936791e-02       2.723147066904e+04 
       1.311133483870e-02       2.729082873324e+04 
       1.324021641095e-02       2.734771902442e+04 
       1.336913410105e-02       2.740227987517e+04 
       1.349808795029e-02       2.745367297525e+04 
       1.362707802436e-02       2.750411696032e+04 
       1.375610441285e-02       2.755104613225e+04 
       1.388516722881e-02       2.759430113638e+04 
       1.401426660833e-02       2.763637953321e+04 
       1.414340271018e-02       2.767835175411e+04 
       1.427257571545e-02       2.771831577990e+04 
       1.440178582729e-02       2.775133688558e+04 
       1.453103327063e-02       2.778210272758e+04 
       1.466031829190e-02       2.781613329953e+04 
       1.478964115890e-02       2.784419107545e+04 
       1.491900216053e-02       2.787189407202e+04 
       1.504840160672e-02       2.789693419611e+04 
       1.517783982825e-02       2.791999879461e+04 
       1.530731717668e-02       2.793504226774e+04 
       1.543683402424e-02       2.795804022463e+04 
       1.556639076382e-02       2.796938563473e+04 
       1.569598780889e-02       2.798838411289e+04 
       1.582562559352e-02       2.800028282951e+04 
       1.595530457238e-02       2.800801490007e+04 
       1.608502522079e-02       2.801584704628e+04 
