# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.773197355899e-10       7.395300159960e-15       6.238524574828e-13       0.000000000000e+00       1.730633994236e-08      -1.181144052225e-09      -2.844058269100e-12 
    3       1.782486628095e-10       1.245602803029e-14       7.494406929336e-13       0.000000000000e+00       1.024004686635e-08      -8.706692386424e-10      -2.428358946514e-12 
    4       1.688052504793e-10       1.450901578270e-14       7.394478348359e-13       0.000000000000e+00       6.881532025685e-09      -6.600978593381e-10      -1.914146103313e-12 
    5       1.582408645350e-10       1.340729865758e-14       6.642672981370e-13       0.000000000000e+00       4.986803541243e-09      -5.155558868051e-10      -1.419511451973e-12 
    6       1.490561934374e-10       1.034066398209e-14       5.634271769148e-13       0.000000000000e+00       3.794628251704e-09      -4.126567070922e-10      -9.781463932281e-13 
    7       1.416941642599e-10       6.849464463625e-15       4.597668067126e-13       0.000000000000e+00       2.990613092925e-09      -3.371092667140e-10      -6.092337742427e-13 
    8       1.360131586086e-10       4.040706082687e-15       3.653137633612e-13       0.000000000000e+00       2.419901486308e-09      -2.801144119070e-10      -3.206261459705e-13 
    9       1.317682816159e-10       2.325537116851e-15       2.861712476463e-13       0.000000000000e+00       1.998677750205e-09      -2.361046869046e-10      -1.121511959245e-13 
   10       1.286692896033e-10       1.553652802920e-15       2.250038090255e-13       0.000000000000e+00       1.678566549199e-09      -2.014175237262e-10       2.265233480998e-14 
   11       1.264818394956e-10       1.324270442256e-15       1.821614712120e-13       0.000000000000e+00       1.408994292452e-09      -1.715470884614e-10       9.396801036286e-14 
   12       1.250326260679e-10       1.267162413526e-15       1.561661773314e-13       0.000000000000e+00       1.215016787070e-09      -1.492417440240e-10       1.172244693970e-13 
   13       1.241681028052e-10       1.183499070542e-15       1.443195129069e-13       0.000000000000e+00       1.057887923138e-09      -1.306383006993e-10       1.064197431292e-13 
   14       1.237474657044e-10       1.043690238736e-15       1.433376904092e-13       0.000000000000e+00       9.287917883311e-10      -1.152624209570e-10       7.448543390697e-14 
   15       1.237265468644e-10       9.060311427318e-16       1.497116454914e-13       0.000000000000e+00       8.214189503016e-10      -1.021768950165e-10       3.380260699769e-14 
   16       1.240299783231e-10       8.306298576092e-16       1.601034139112e-13       0.000000000000e+00       7.311547719393e-10      -9.097375608700e-11      -6.430707452259e-15 
   17       1.245669019420e-10       8.340925987619e-16       1.718373839418e-13       0.000000000000e+00       6.545509365708e-10      -8.135554183019e-11      -3.980143350058e-14 
   18       1.253226325205e-10       8.910799569467e-16       1.830784914241e-13       0.000000000000e+00       5.889890173374e-10      -7.309838075183e-11      -6.274875745496e-14 
   19       1.263070290635e-10       9.621371883268e-16       1.926979581753e-13       0.000000000000e+00       5.324507021241e-10      -6.598199751809e-11      -7.422459007215e-14 
   20       1.274237520051e-10       1.021542515311e-15       2.002545882574e-13       0.000000000000e+00       4.833610171252e-10      -5.974861708350e-11      -7.503719817063e-14 
   21       1.286429320697e-10       1.068890072121e-15       2.059668776974e-13       0.000000000000e+00       4.404748588157e-10      -5.426344957154e-11      -6.748744978227e-14 
   22       1.300377933079e-10       1.123011766978e-15       2.103079053006e-13       0.000000000000e+00       4.027972292363e-10      -4.944041353308e-11      -5.460221864711e-14 
   23       1.315091711892e-10       1.207090025970e-15       2.139166669382e-13       0.000000000000e+00       3.695249307039e-10      -4.520604876772e-11      -3.958512491182e-14 
   24       1.330964927483e-10       1.335955572294e-15       2.174354295518e-13       0.000000000000e+00       3.400044624878e-10      -4.147079401167e-11      -2.532330919116e-14 
   25       1.347199275862e-10       1.511804623037e-15       2.214440863283e-13       0.000000000000e+00       3.136989691580e-10      -3.810348238115e-11      -1.380296340502e-14 
   26       1.364222850514e-10       1.728043790613e-15       2.263247818340e-13       0.000000000000e+00       2.901641170210e-10      -3.505506627964e-11      -6.222443152303e-15 
   27       1.382405238493e-10       1.976515830080e-15       2.319986332244e-13       0.000000000000e+00       2.690294521220e-10      -3.231639809815e-11      -2.896321774846e-15 
   28       1.400318717721e-10       2.252362418911e-15       2.384345182156e-13       0.000000000000e+00       2.499841202339e-10      -2.986602003617e-11      -3.383037639966e-15 
   29       1.419594178280e-10       2.554818474574e-15       2.452429218990e-13       0.000000000000e+00       2.327657705936e-10      -2.764501690865e-11      -6.695670545063e-15 
   30       1.438813534901e-10       2.884909252179e-15       2.518528559348e-13       0.000000000000e+00       2.171517671276e-10      -2.562562765135e-11      -1.177498623258e-14 
   31       1.458330985181e-10       3.242548730480e-15       2.579059840550e-13       0.000000000000e+00       2.029538414224e-10      -2.379619789068e-11      -1.747367961123e-14 
   32       1.479195694224e-10       3.625452262968e-15       2.626893126686e-13       0.000000000000e+00       1.900090653773e-10      -2.210978708765e-11      -2.232836800105e-14 
   33       1.499318965796e-10       4.029997043033e-15       2.659142886135e-13       0.000000000000e+00       1.781769045447e-10      -2.056978872952e-11      -2.547540982805e-14 
   34       1.520611988864e-10       4.453910199674e-15       2.673484549087e-13       0.000000000000e+00       1.673355980789e-10      -1.916698280625e-11      -2.653930427144e-14 
   35       1.542284595609e-10       4.898490874146e-15       2.665990798786e-13       0.000000000000e+00       1.573811169877e-10      -1.793146828280e-11      -2.606911050115e-14 
   36       1.563407962053e-10       5.368327748569e-15       2.640059243141e-13       0.000000000000e+00       1.482218439479e-10      -1.676272633473e-11      -2.375848796164e-14 
   37       1.586014075137e-10       5.869041613575e-15       2.596819924165e-13       0.000000000000e+00       1.397768254681e-10      -1.565879991392e-11      -2.008507140211e-14 
   38       1.608337674492e-10       6.404993842840e-15       2.536952989993e-13       0.000000000000e+00       1.319753140809e-10      -1.467030449942e-11      -1.613353777170e-14 
   39       1.630876251964e-10       6.978909150878e-15       2.464213373717e-13       0.000000000000e+00       1.247565590992e-10      -1.377820929118e-11      -1.251457073374e-14 
