# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494301367225e-10       7.288814963423e-15       4.813068984888e-13       0.000000000000e+00       8.899646887388e-09       4.878509272915e-10      -2.508514292686e-12 
    3       1.408197511514e-10       1.233740853322e-14       6.052795074148e-13       0.000000000000e+00       5.431369045716e-09       3.466554177780e-10      -2.206662299799e-12 
    4       1.323521566242e-10       1.440321295199e-14       6.260869991608e-13       0.000000000000e+00       3.759164104726e-09       2.634181202864e-10      -1.760161447103e-12 
    5       1.256467802765e-10       1.331969151222e-14       5.863165839028e-13       0.000000000000e+00       2.796926940296e-09       2.087948501233e-10      -1.306443602709e-12 
    6       1.207071697636e-10       1.027758552931e-14       5.159485774454e-13       0.000000000000e+00       2.178994965801e-09       1.703543336344e-10      -8.927258151846e-13 
    7       1.172357541329e-10       6.811822399250e-15       4.353425887695e-13       0.000000000000e+00       1.753853688581e-09       1.419997744611e-10      -5.430635538813e-13 
    8       1.149130887918e-10       4.025398980007e-15       3.567473475328e-13       0.000000000000e+00       1.446413359275e-09       1.203413672812e-10      -2.681960291982e-13 
    9       1.134949486627e-10       2.327261824991e-15       2.874045921344e-13       0.000000000000e+00       1.215574887096e-09       1.033476304113e-10      -6.976882719289e-14 
   10       1.127664771728e-10       1.566232087427e-15       2.313533111312e-13       0.000000000000e+00       1.037233762846e-09       8.975892425401e-11       5.751585388160e-14 
   11       1.125882507368e-10       1.341736952157e-15       1.902880010920e-13       0.000000000000e+00       8.886883855797e-10       7.949712791230e-11       1.232397327879e-13 
   12       1.128510501708e-10       1.284550423134e-15       1.638991197528e-13       0.000000000000e+00       7.765263154774e-10       7.027370630641e-11       1.420007329266e-13 
   13       1.134359728898e-10       1.197288968204e-15       1.504425849510e-13       0.000000000000e+00       6.844546337614e-10       6.273598199780e-11       1.275711582106e-13 
   14       1.142444008912e-10       1.051918356775e-15       1.473556384646e-13       0.000000000000e+00       6.078488754152e-10       5.620004577048e-11       9.267989245332e-14 
   15       1.152824823555e-10       9.081864856415e-16       1.516214170879e-13       0.000000000000e+00       5.433675439929e-10       5.073907292769e-11       4.955490880453e-14 
   16       1.165102991411e-10       8.273767271009e-16       1.602386742443e-13       0.000000000000e+00       4.885435739893e-10       4.610993148778e-11       7.280259502350e-15 
   17       1.178467788549e-10       8.268390090165e-16       1.707225236672e-13       0.000000000000e+00       4.415135542285e-10       4.211372179321e-11      -2.781558913710e-14 
   18       1.192856071573e-10       8.815710640365e-16       1.812701028445e-13       0.000000000000e+00       4.008483206049e-10       3.858622791904e-11      -5.223498847402e-14 
   19       1.208618606183e-10       9.521358821928e-16       1.906996681370e-13       0.000000000000e+00       3.654355876909e-10       3.543691335700e-11      -6.497762320130e-14 
   20       1.225072121907e-10       1.012519305185e-15       1.984801956209e-13       0.000000000000e+00       3.344002206859e-10       3.267180497446e-11      -6.688777528374e-14 
   21       1.242002198876e-10       1.061812840075e-15       2.046922083400e-13       0.000000000000e+00       3.070439319312e-10       3.022529968935e-11      -6.029335797030e-14 
   22       1.260071607614e-10       1.118328152691e-15       2.096525621486e-13       0.000000000000e+00       2.828042415014e-10       2.802453895205e-11      -4.824203204289e-14 
   23       1.278301881365e-10       1.204789566123e-15       2.138767999146e-13       0.000000000000e+00       2.612230277523e-10       2.601312178773e-11      -3.395381962298e-14 
   24       1.297272116367e-10       1.335628486987e-15       2.179197082753e-13       0.000000000000e+00       2.419247181139e-10       2.417105920446e-11      -2.032890718864e-14 
   25       1.316391252699e-10       1.512769299206e-15       2.222932082395e-13       0.000000000000e+00       2.245983443796e-10       2.253791236174e-11      -9.363984861284e-15 
   26       1.336099872094e-10       1.729562867369e-15       2.273436922939e-13       0.000000000000e+00       2.089844802924e-10       2.108816915268e-11      -2.266401076309e-15 
   27       1.356649625618e-10       1.977970876911e-15       2.330071643184e-13       0.000000000000e+00       1.948652059814e-10       1.977064794079e-11       6.406090247464e-16 
   28       1.376581991856e-10       2.253298005921e-15       2.393014915080e-13       0.000000000000e+00       1.820562319229e-10       1.855456484801e-11      -2.098749426888e-16 
   29       1.397639754472e-10       2.554935751076e-15       2.458887513277e-13       0.000000000000e+00       1.704009521472e-10       1.745116029507e-11      -3.838958077882e-15 
   30       1.418545017729e-10       2.884103226565e-15       2.522430686188e-13       0.000000000000e+00       1.597655491810e-10       1.644692488127e-11      -9.194606069928e-15 
   31       1.439676661060e-10       3.240936936810e-15       2.580522791924e-13       0.000000000000e+00       1.500367076081e-10       1.551892257076e-11      -1.513636010754e-14 
   32       1.461994225323e-10       3.623305645077e-15       2.626469833629e-13       0.000000000000e+00       1.411151570052e-10       1.468520879225e-11      -2.020716507400e-14 
   33       1.483366221115e-10       4.027621116017e-15       2.657628852974e-13       0.000000000000e+00       1.329146629116e-10       1.391676539064e-11      -2.354875103390e-14 
   34       1.505761061711e-10       4.451589880359e-15       2.671670002812e-13       0.000000000000e+00       1.253598950361e-10       1.319972948487e-11      -2.478940414870e-14 
   35       1.528470916894e-10       4.896497601219e-15       2.664546569795e-13       0.000000000000e+00       1.183868398824e-10       1.248361380271e-11      -2.448025382632e-14 
   36       1.550590186195e-10       5.366893710500e-15       2.639532714568e-13       0.000000000000e+00       1.119383877418e-10       1.185234147353e-11      -2.231626034718e-14 
   37       1.574108365083e-10       5.868278613061e-15       2.597594878025e-13       0.000000000000e+00       1.059635195114e-10       1.129416732282e-11      -1.877599111980e-14 
   38       1.597228791631e-10       6.404850513357e-15       2.539137884784e-13       0.000000000000e+00       1.004174981550e-10       1.074598117161e-11      -1.494505824738e-14 
   39       1.620473816120e-10       6.979232266190e-15       2.467593566492e-13       0.000000000000e+00       9.526226047996e-11       1.021574217091e-11      -1.143475614579e-14 
   40       1.644692177844e-10       7.592401862522e-15       2.382106176726e-13       0.000000000000e+00       9.046213090446e-11       9.747947086354e-12      -8.336689922417e-15 
   41       1.668146560893e-10       8.243781778692e-15       2.285048580567e-13       0.000000000000e+00       8.598542563389e-11       9.315420178946e-12      -6.257845637136e-15 
   42       1.692406821071e-10       8.932392367388e-15       2.179135063826e-13       0.000000000000e+00       8.180541323765e-11       8.886445714114e-12      -5.695269814048e-15 
   43       1.717387887495e-10       9.657310771379e-15       2.061037620687e-13       0.000000000000e+00       7.789682835967e-11       8.504550876129e-12      -5.880091824313e-15 
   44       1.741443181590e-10       1.041865843212e-14       1.930531179868e-13       0.000000000000e+00       7.423665165074e-11       8.141338445951e-12      -6.858827023964e-15 
   45       1.766283571644e-10       1.121774370580e-14       1.787104514719e-13       0.000000000000e+00       7.080582796608e-11       7.783716353843e-12      -8.632243147751e-15 
