# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 0.630176 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045004358465e-05       5.246581804042e+01 
       2.333095830364e-05       1.136047228485e+02 
       3.625717138197e-05       1.736019810772e+02 
       4.926346170446e-05       2.331316961988e+02 
       6.238518340034e-05       2.925732248981e+02 
       7.565858108432e-05       3.522082938113e+02 
       8.912111517766e-05       4.122761883181e+02 
       1.028118016360e-04       4.729962156051e+02 
       1.167715704439e-04       5.345792188127e+02 
       1.310436472695e-04       5.972344773834e+02 
       1.456739626796e-04       6.611744661172e+02 
       1.607115932535e-04       7.266185239605e+02 
       1.762092387588e-04       7.937959658582e+02 
       1.922237391794e-04       8.629488950247e+02 
       2.088166347275e-04       9.343348942389e+02 
       2.260547708937e-04       1.008229663389e+03 
       2.440109489228e-04       1.084929665441e+03 
       2.627646196243e-04       1.164754772545e+03 
       2.824026148746e-04       1.248050931142e+03 
       3.030199061975e-04       1.335192759804e+03 
       3.247203730558e-04       1.426586031316e+03 
       3.476175545344e-04       1.522669903170e+03 
       3.718353465748e-04       1.623918710518e+03 
       3.975085925723e-04       1.730843145874e+03 
       4.247834979996e-04       1.843990441470e+03 
       4.538177802962e-04       1.963943252147e+03 
       4.847804449377e-04       2.091316790629e+03 
       5.178510599038e-04       2.226753659604e+03 
       5.532183878398e-04       2.370915935889e+03 
       5.910782339041e-04       2.524473997289e+03 
       6.316303850249e-04       2.688091654781e+03 
       6.750745609842e-04       2.862407554111e+03 
       7.216053758473e-04       3.048012981076e+03 
       7.714064215132e-04       3.245426836088e+03 
       8.246437268604e-04       3.455069011098e+03 
       8.814589978991e-04       3.677234052047e+03 
       9.419631766204e-04       3.912067471746e+03 
       1.006230932013e-03       4.159547207559e+03 
       1.074296682416e-03       4.419472567107e+03 
       1.146152626855e-03       4.691462417539e+03 
       1.221749044348e-03       4.974963375568e+03 
       1.300996843579e-03       5.269267377109e+03 
       1.383772069420e-03       5.573537017590e+03 
       1.469921856686e-03       5.886835810119e+03 
       1.559271205766e-03       6.208160929792e+03 
       1.651629950110e-03       6.536474567986e+03 
       1.746799373907e-03       6.870732930882e+03 
       1.844578083652e-03       7.209910456160e+03 
       1.944766900247e-03       7.553019418204e+03 
       2.047172686846e-03       7.899124319280e+03 
       2.151611143041e-03       8.247352017117e+03 
       2.257908672078e-03       8.596896976984e+03 
       2.365903467808e-03       8.947024334106e+03 
       2.475445979787e-03       9.297068790533e+03 
       2.586398907712e-03       9.646432823067e+03 
       2.698636858273e-03       9.994583768872e+03 
       2.812045774843e-03       1.034104939681e+04 
       2.926522227346e-03       1.068541056123e+04 
       3.041972628545e-03       1.102730538203e+04 
       3.158312425015e-03       1.136640928518e+04 
       3.275465296538e-03       1.170244518501e+04 
       3.393362386273e-03       1.203517107661e+04 
       3.511941575581e-03       1.236437842922e+04 
       3.631146811106e-03       1.268988708188e+04 
       3.750927487358e-03       1.301154351550e+04 
       3.871237885001e-03       1.332921752284e+04 
       3.992036663108e-03       1.364279996170e+04 
       4.113286402413e-03       1.395219509452e+04 
       4.234953195939e-03       1.425732914859e+04 
       4.357006283050e-03       1.455813682270e+04 
       4.479417722957e-03       1.485456909475e+04 
       4.602162103782e-03       1.514658998764e+04 
       4.725216283514e-03       1.543416249366e+04 
       4.848559159457e-03       1.571723723679e+04 
       4.972171463028e-03       1.599587621798e+04 
       5.096035577095e-03       1.627001268739e+04 
       5.220135373297e-03       1.653966434136e+04 
       5.344456067073e-03       1.680490848731e+04 
       5.468984088379e-03       1.706568275270e+04 
       5.593706966285e-03       1.732201331283e+04 
       5.718613225869e-03       1.757391035429e+04 
       5.843692296005e-03       1.782088976921e+04 
       5.968934426788e-03       1.806397171605e+04 
       6.094330615523e-03       1.830268127975e+04 
       6.219872540296e-03       1.853705223096e+04 
       6.345552500285e-03       1.876711584357e+04 
       6.471363362067e-03       1.899286801554e+04 
       6.597298511245e-03       1.921438101715e+04 
       6.723351808830e-03       1.943175032187e+04 
       6.849517551848e-03       1.964488327460e+04 
       6.975790437733e-03       1.985403643338e+04 
       7.102165532088e-03       2.005908358600e+04 
       7.228638239473e-03       2.026006876051e+04 
       7.355204276895e-03       2.045691632435e+04 
       7.481859649730e-03       2.065032254799e+04 
       7.608600629819e-03       2.083932432952e+04 
       7.735423735528e-03       2.102489961510e+04 
       7.862325713566e-03       2.120614066850e+04 
